Number,FileName,Segment,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,zcr,rms,spectral_centroid
21,Humannoise,0,-473.4316101074219,105.02711486816406,-3.505232572555542,-9.822091102600098,-15.780598640441895,2.7960588932037354,16.6964111328125,10.202493667602539,10.135663032531738,9.754043579101562,-0.8678947687149048,0.43662509322166443,-1.0537282228469849,137.02914428710938,38.99004364013672,16.268909454345703,33.960697174072266,30.649242401123047,21.46695899963379,14.954082489013672,11.939459800720215,8.317395210266113,7.785310745239258,9.400792121887207,6.66215705871582,6.4878034591674805,0.4423983693122864,0.3671385943889618,0.3324430584907532,0.3128655254840851,0.3079666793346405,0.3317585289478302,0.3900412917137146,0.4943283200263977,0.6680604815483093,0.6062121987342834,0.43999606370925903,0.5002195239067078,0.06465594951923077,0.013132354244589806,1664.2634142058848
22,Humannoise,1,-500.3367614746094,114.1512680053711,-15.205567359924316,-19.359392166137695,9.756316184997559,20.673612594604492,19.597047805786133,0.5238773822784424,-2.766348123550415,4.014107704162598,-4.933594703674316,1.793445348739624,3.553858757019043,146.30601501464844,23.788818359375,21.87448501586914,38.24605178833008,21.84551239013672,23.32216453552246,19.914011001586914,9.744791030883789,14.139101028442383,8.456457138061523,10.765324592590332,9.165202140808105,8.061813354492188,0.5621384978294373,0.6304385662078857,0.5963540077209473,0.4956532418727875,0.48081934452056885,0.5311712026596069,0.4795355498790741,0.5043714642524719,0.46840590238571167,0.43062132596969604,0.4451007544994354,0.5025293231010437,0.07553335336538461,0.006834433414041996,2003.2661876484528
23,Humannoise,2,-506.140869140625,67.298583984375,45.301544189453125,35.62339782714844,-6.875497341156006,-20.481822967529297,29.282913208007812,-12.877156257629395,-15.012886047363281,0.5968329310417175,-9.28579330444336,9.16876220703125,8.746490478515625,81.80427551269531,36.161930084228516,11.802757263183594,32.176177978515625,16.499778747558594,30.72450065612793,16.530231475830078,31.342754364013672,20.64603042602539,14.193787574768066,12.412714958190918,19.75249671936035,14.305798530578613,0.5688765048980713,0.49399590492248535,0.29439833760261536,0.2540337145328522,0.25187259912490845,0.2300739586353302,0.22441227734088898,0.2690695822238922,0.3993338942527771,0.3957327604293823,0.35458898544311523,0.3649866282939911,0.04088040865384615,0.025630226358771324,1628.5620074940748
24,Noise3,0,-616.6022338867188,95.30052185058594,3.3133668899536133,21.4798526763916,10.1225004196167,12.07487964630127,13.945242881774902,6.496568202972412,7.941962242126465,6.097755432128906,1.6662824153900146,3.244581937789917,1.7463383674621582,105.87028503417969,74.30921936035156,16.71811294555664,13.36325740814209,12.155858993530273,7.999814033508301,7.704927921295166,6.444756031036377,5.1635026931762695,5.691359043121338,5.174771308898926,4.349735736846924,4.300085067749023,0.7399213314056396,0.6601740717887878,0.6116383075714111,0.5389755964279175,0.4612983763217926,0.4783700704574585,0.5487229824066162,0.6154376864433289,0.6275104284286499,0.6182146072387695,0.6162624955177307,0.7026971578598022,0.11475360576923077,0.0017573212971910834,2154.329285811801
25,Noise3,1,-548.5945434570312,96.319580078125,-6.508047103881836,31.126340866088867,13.730255126953125,14.94029712677002,12.138195991516113,7.607919692993164,8.629734992980957,5.716189384460449,2.6860320568084717,5.551604747772217,2.4543838500976562,84.80195617675781,27.96498680114746,28.87057113647461,7.680359840393066,10.743241310119629,6.67828893661499,5.51943302154541,7.333836078643799,7.406123638153076,9.396114349365234,5.78218936920166,4.926392078399658,4.198315620422363,0.731255292892456,0.699026882648468,0.6367108225822449,0.5569210052490234,0.5744284391403198,0.5898751616477966,0.5944424867630005,0.674828052520752,0.7556449174880981,0.7564713954925537,0.7098442912101746,0.6763314008712769,0.08012319711538461,0.0016063994262367487,2113.6434419957905
26,Noise3,2,-513.0591430664062,89.2691879272461,-12.847024917602539,30.09942626953125,7.807041168212891,12.77235221862793,14.139404296875,9.46837043762207,6.728821754455566,8.667441368103027,5.154451370239258,2.892930507659912,3.271247625350952,175.89752197265625,34.01382064819336,17.240087509155273,13.48668384552002,18.60566520690918,9.263361930847168,7.388925075531006,8.394532203674316,9.18339729309082,10.222624778747559,6.4052815437316895,5.728858947753906,6.422855854034424,0.6303665041923523,0.6413472890853882,0.5857627391815186,0.5215762853622437,0.5218302011489868,0.5175390839576721,0.6352115869522095,0.7529792785644531,0.7063794136047363,0.6408537030220032,0.6127187013626099,0.5885051488876343,0.0948016826923077,0.0073591070249676704,2149.3920736659366
27,Noise3,3,-588.5645751953125,100.43763732910156,-15.41558837890625,18.739049911499023,9.67866039276123,19.30719757080078,14.216485977172852,10.508432388305664,4.70740270614624,4.86052942276001,4.866463661193848,-0.1627999097108841,0.7459267377853394,166.6851348876953,11.6040678024292,30.28875160217285,8.63807201385498,18.37506103515625,8.276407241821289,8.368990898132324,5.745760917663574,6.302417278289795,4.586981773376465,5.359445095062256,5.504143238067627,4.515158176422119,0.6421694159507751,0.5852099061012268,0.5629611611366272,0.579901933670044,0.5789943337440491,0.5320121645927429,0.6489052176475525,0.7778435349464417,0.8030680418014526,0.7261152267456055,0.6642469167709351,0.572195827960968,0.07797475961538461,0.0029935454949736595,1954.6422740064777
28,Noise3,4,-498.6327819824219,95.38814544677734,-9.020203590393066,12.080585479736328,-0.6335952877998352,9.18761920928955,10.071818351745605,11.120948791503906,9.76540756225586,6.6926188468933105,3.74528431892395,1.7731423377990723,4.7583231925964355,140.30673217773438,40.64423370361328,24.45733070373535,15.084858894348145,16.474498748779297,8.606084823608398,8.4108247756958,8.497030258178711,7.6441731452941895,7.585423469543457,5.7511796951293945,5.7474188804626465,6.254305839538574,0.6114103198051453,0.6398659944534302,0.5930919647216797,0.5456483364105225,0.5322695374488831,0.4562152326107025,0.46195048093795776,0.5808010697364807,0.7030744552612305,0.7537232041358948,0.6614381074905396,0.6060081720352173,0.11329627403846154,0.004242491442710161,2304.469101210097
29,Noise4,0,-383.8929138183594,102.73719024658203,14.682465553283691,56.654415130615234,11.602429389953613,-8.036931037902832,-15.211856842041016,-13.479146003723145,-9.364336967468262,-10.327396392822266,-14.155668258666992,-6.047506332397461,-6.8932671546936035,98.44844055175781,50.675132751464844,26.1781005859375,35.43638229370117,13.813271522521973,13.331531524658203,12.190296173095703,8.77759838104248,11.710699081420898,12.034890174865723,13.650951385498047,6.69560432434082,9.156200408935547,0.17872008681297302,0.09864769876003265,0.10879756510257721,0.12731797993183136,0.17708763480186462,0.29301750659942627,0.4344058334827423,0.42281514406204224,0.39792194962501526,0.3471152186393738,0.34630030393600464,0.3057471215724945,0.04675480769230769,0.04492887109518051,1184.5292381346314
30,Noise4,1,-325.8303527832031,107.5735855102539,-0.10281826555728912,39.43415451049805,12.790922164916992,2.5361597537994385,-17.465133666992188,-6.53767728805542,-14.296887397766113,-18.49340057373047,-16.25602149963379,-9.82652473449707,-9.049698829650879,46.931095123291016,35.16019821166992,30.85112953186035,15.34992504119873,21.459911346435547,12.450798034667969,15.415997505187988,10.706741333007812,7.8318657875061035,9.598542213439941,8.17026424407959,9.29091739654541,5.0188374519348145,0.27163052558898926,0.21463938057422638,0.2827813923358917,0.36880332231521606,0.3978145122528076,0.455398291349411,0.4413720667362213,0.3253885805606842,0.2952190935611725,0.3326793909072876,0.338279664516449,0.32916027307510376,0.07445162259615384,0.02962266467511654,1761.3208885535958
